Date,Time,Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (breaths/min),Blood Oxygen (%),Step Count (steps),Walking Speed (km/h),Distance Walked/Run (km),Flights Climbed (flights),Active Energy Burned (kcal),Stand Hours (hours),Sleep Duration (hours),Time Awake (minutes),REM Sleep (%),Core Sleep (%),Deep Sleep (%),Environmental Sound Level (dB),Headphone Audio Exposure (dB),VO2 Max (mL/kg/min),ECG (ST Segment Elevation) (mm),Body Temperature (°C),Exercise Minutes (minutes),Elevation Gain (meters),Running Pace (min/km),Mindfulness Minutes (minutes)
1-Mar-2025,00:00:00,73,68,12.237569026748355,106.82721165065969,95,3.9637770792461584,0.06782829627771071,0,60,1,0,0,0,0,0,37.99603711928441,65,36.99916664904231,0.02626139997482148,35.4360543352556,0,0,0,5
1-Mar-2025,01:00:00,59,77,9.41032650399081,99.37816034474581,0,0.0,0.0,0,60,0,0,0,0,0,0,34.964999119280066,0,34.00788414379741,0.0073173176637250014,38.65399835368708,0,0,0,0
1-Mar-2025,02:00:00,77,40,11.59121795862571,106.8869392230512,0,0.0,0.0,0,55,0,0,0,0,0,0,30.822522048625007,0,35.004313409906814,-0.05715706156291225,39.501014398409865,0,0,0,0
1-Mar-2025,03:00:00,74,48,11.874857785362424,96.9104906041272,0,0.0,0.0,0,60,0,0,0,0,0,0,30.7711471309421,0,35.762089054409365,0.02011332321505389,32.932914736061946,0,0,0,0
1-Mar-2025,04:00:00,64,25,11.746082519986652,99.4653700621121,0,0.0,0.0,0,59,0,0,0,0,0,0,34.84358034056836,0,33.100026170536196,0.07056327057809009,39.866879679060936,0,0,0,0
1-Mar-2025,05:00:00,62,69,12.607951429540982,102.86555655646006,0,0.0,0.0,0,54,0,0,0,0,0,0,35.30981233073527,0,35.09259543910995,-0.006146087495553756,33.64074578828731,0,0,0,0
1-Mar-2025,06:00:00,76,35,11.067618169887817,102.93888008858883,0,0.0,0.0,0,56,0,0,0,0,0,0,40.268082604024265,0,33.296037964364196,0.010307572743329073,36.81762357632063,0,0,0,0
1-Mar-2025,07:00:00,87,62,20.814042515167923,94.7053158125151,76,4.4235456011539265,0.05820102485770711,0,61,1,5,40,23,75,11,43.945037606171184,0,36.46473214595304,0.003290504552163074,38.77125230877572,0,0,0,0
1-Mar-2025,08:00:00,71,42,9.527585684965619,99.14830034607037,105,3.993042483438393,0.0712903935941007,0,56,1,0,0,0,0,0,42.03273746383822,0,37.621825125191116,-0.02136311782482367,36.908648727725584,0,0,0,0
1-Mar-2025,09:00:00,66,34,14.558233761464491,89.85219231468774,170,4.1957256134917955,0.1214688325616571,1,65,1,0,0,0,0,0,36.276100121591945,0,34.48676739177728,0.01749379897084394,40.12431438241656,0,3,0,0
1-Mar-2025,10:00:00,76,31,12.813996017397717,92.60655258487616,320,5.274246246783695,0.22636797490776966,1,61,0,0,0,0,0,0,54.877667244713756,0,38.06699092906904,-0.03030042765234092,40.189640600239336,0,3,0,0
1-Mar-2025,11:00:00,72,37,14.81379687422599,93.77271939954082,133,3.846920092202959,0.08619203494035156,0,63,0,0,0,0,0,0,37.30032064873564,0,38.016362279668705,-0.03457498491576571,37.899565270159805,0,0,0,0
1-Mar-2025,12:00:00,61,71,13.433619883407768,104.70246057152985,381,3.2444322395693117,0.2883477241664495,0,67,0,0,0,0,0,0,24.987496286751753,0,37.82196294076894,-0.011640604166286731,37.91019621452507,0,0,0,0
1-Mar-2025,13:00:00,71,72,12.012903306654904,92.55978084766043,110,4.8034525140593765,0.09169370543315929,1,59,0,0,0,0,0,0,42.97610535854113,0,32.36220200734718,0.036364245842831024,39.891653427959035,0,3,0,0
1-Mar-2025,14:00:00,68,52,14.990917929504352,88.67334937643166,149,3.829939386153074,0.11189682896094368,0,59,1,0,0,0,0,0,42.44277918366342,0,32.179410166686075,0.0599567980484839,35.86913636982496,0,0,0,0
1-Mar-2025,15:00:00,71,50,13.681665413131139,102.25786138195103,363,3.351774950792654,0.2857786214068635,1,73,1,0,0,0,0,0,47.17926100904541,0,32.59989792669327,-0.048862650256043985,35.435994461430134,0,3,0,0
1-Mar-2025,16:00:00,86,41,13.30991852020585,103.910325861823,123,4.268663908305924,0.08677780014750722,1,133,1,0,0,0,0,0,59.79534260696531,0,38.086829221401786,0.0010124676613680573,33.58420986496651,11,3,0,0
1-Mar-2025,17:00:00,71,44,13.5349626849197,101.33703571200508,174,3.9902767838741933,0.1332078107134097,0,62,0,0,0,0,0,0,31.74350307372472,0,36.64894212384114,-0.02610513358909563,37.54411496190809,0,0,0,0
1-Mar-2025,18:00:00,69,49,16.68838170000001,100.4274618973753,382,3.2434785873154044,0.33182870177220725,1,64,1,0,0,0,0,0,36.286692742326785,0,37.65336020353536,0.007028606706467745,36.13708785331282,0,3,0,0
1-Mar-2025,19:00:00,60,47,13.904922004007558,89.95665683277399,142,4.63412192065568,0.11545057442909773,0,65,1,0,0,0,0,0,47.11904870761398,0,34.90228538668682,-0.049463933614228746,38.29049668744222,0,0,0,0
1-Mar-2025,20:00:00,73,42,17.640227416524557,104.19981181458837,91,4.233150776895825,0.06348777371389215,0,55,1,0,0,0,0,0,43.53317280065797,0,36.63197400506315,0.05078418510792076,35.97806615896489,0,0,0,0
1-Mar-2025,21:00:00,76,63,14.208754447618546,89.92859091449446,95,5.280358741402668,0.07752675247468623,0,56,0,0,0,0,0,0,38.641660503704294,0,34.06205590139986,0.01624036085834308,34.103893366428736,0,0,0,0
1-Mar-2025,22:00:00,77,56,10.898791290826086,97.62117220932284,74,3.721779801364556,0.05614201294573161,0,58,1,0,0,0,0,0,37.66701704038949,0,35.722725597546194,-0.023923295868034267,34.513471728309554,0,0,0,0
1-Mar-2025,23:00:00,64,54,13.329019009238236,98.75584874810984,107,4.246984635062522,0.08834282974794279,0,61,1,0,0,0,0,0,62.39104890391939,0,34.28306102363948,-0.03918923988884229,37.05574062184187,0,0,0,0
2-Mar-2025,00:00:00,76,23,13.900253745780967,98.87922397615442,70,3.8621650162568377,0.05560010139860328,0,57,1,0,0,0,0,0,39.495567094643924,0,35.200188249913644,0.0009347984029339738,34.96452293148966,0,0,0,0
2-Mar-2025,01:00:00,62,32,11.301763654422974,95.36952145307546,63,3.8548430512847083,0.05269911511056053,0,62,0,0,0,0,0,0,42.58942922586487,0,33.1573917501277,0.02169124805592144,39.609915501848334,0,0,0,0
2-Mar-2025,02:00:00,59,46,14.286423703656414,93.27917755115074,67,3.2318198714696362,0.04713949453372468,0,57,1,0,0,0,0,0,46.73789728598061,68,36.50466111509465,0.02419504840511156,38.47352232985438,0,0,0,5
2-Mar-2025,03:00:00,74,52,10.334247341558982,90.02931636541658,0,0.0,0.0,0,61,0,0,0,0,0,0,35.94964709544669,0,35.71489407959746,-0.03491952561905189,38.38926952449736,0,0,0,0
2-Mar-2025,04:00:00,72,62,11.817623170039807,89.19499770121445,0,0.0,0.0,0,60,0,0,0,0,0,0,37.273846076522084,0,34.41030320246953,0.029609391064268194,33.08064977941804,0,0,0,0
2-Mar-2025,05:00:00,80,63,11.58188958542518,105.59308141579656,0,0.0,0.0,0,58,0,0,0,0,0,0,38.28184768910006,0,32.555112812556565,0.03616898769536193,35.87367185300557,0,0,0,0
2-Mar-2025,06:00:00,70,29,11.384952430327086,92.19054889392507,0,0.0,0.0,0,62,0,0,0,0,0,0,36.990649474991486,0,35.68634501800801,-0.006536927688357708,38.81052511546431,0,0,0,0
2-Mar-2025,07:00:00,59,65,10.973201146140983,88.79610091896059,0,0.0,0.0,0,63,0,0,0,0,0,0,38.84437843743925,0,35.367687609252286,0.005891142418232437,36.14187102684299,0,0,0,0
2-Mar-2025,08:00:00,64,42,12.382045399188634,92.07647653455656,44,3.432724430955064,0.03123231280057033,0,54,1,5,40,22,59,11,53.558875209186404,0,37.09041611738313,-0.0037079070821148985,40.163570629699755,0,0,0,0
2-Mar-2025,09:00:00,59,28,13.916752812853826,104.37537637077077,142,5.084208326369554,0.11570596600499301,0,66,1,0,0,0,0,0,40.80815082982552,0,34.733657361760194,0.015057673682880513,37.06709731526257,0,0,0,0
2-Mar-2025,10:00:00,62,71,16.635424027744005,106.48877569571242,287,3.9028205658757837,0.2529667290174013,1,65,0,0,0,0,0,0,45.33026318497006,0,33.1538156572165,-0.027342602394259483,40.69127678167802,0,3,0,0
2-Mar-2025,11:00:00,80,53,11.843252527894672,108.33334539731494,130,3.6411271382703037,0.09028267291058142,1,59,1,0,0,0,0,0,30.832304304481102,0,31.47417049924359,0.0009061373928530516,39.76319818883749,0,3,0,0
2-Mar-2025,12:00:00,64,44,12.76232259579179,95.29363146899317,322,4.581153667785644,0.23419367057328344,1,70,0,0,0,0,0,0,32.905960446401494,0,36.44052793949143,0.0324769524463536,34.75283397307451,0,3,0,0
2-Mar-2025,13:00:00,73,58,15.59005629146195,87.4249424015984,140,3.743139510798749,0.09788030450014362,1,57,1,0,0,0,0,0,59.365005090990515,0,32.72462066381122,-0.022547298811762793,34.92649820102839,0,3,0,0
2-Mar-2025,14:00:00,72,27,13.403322927053166,94.30596154943696,172,4.1189192019341085,0.11576506765273113,0,67,0,0,0,0,0,0,47.365316744076324,0,34.92387274500512,0.030775726149145588,38.86107285808766,0,0,0,0
2-Mar-2025,15:00:00,69,27,17.6845383325927,103.44537877500052,389,3.1142307880989404,0.27850031150606913,0,64,0,0,0,0,0,0,56.00790014788585,0,36.30145632870428,0.02997280141201672,34.34100189852372,0,0,0,0
2-Mar-2025,16:00:00,70,43,11.604367400479351,100.43878122036791,106,4.771433515200341,0.09135985442642992,0,64,0,0,0,0,0,0,51.26517881339763,0,32.43370691772571,-0.007240409983362558,33.97511026865715,0,0,0,0
2-Mar-2025,17:00:00,75,46,9.806763713208358,99.97663560140103,111,5.064205036133529,0.08189128102021619,1,60,0,0,0,0,0,0,41.28416488496026,0,31.688606223249916,-0.008146575112315462,34.00137795461379,0,3,0,0
2-Mar-2025,18:00:00,67,71,12.890471990388672,96.50913265798667,259,5.109405467514341,0.2220241669590445,1,60,0,0,0,0,0,0,43.20470949499622,0,32.2762326493339,-0.023166901003301224,34.20097001748733,0,3,0,0
2-Mar-2025,19:00:00,61,28,14.42190332328692,96.25372266679621,139,3.5268036989196565,0.10622850266231104,0,62,1,0,0,0,0,0,57.79060445608748,0,37.36459673574795,-0.01720152646798904,37.24482918223069,0,0,0,0
2-Mar-2025,20:00:00,71,56,16.29514463751146,91.79323184942635,78,3.983024077272668,0.057460454021341464,0,54,0,0,0,0,0,0,35.845337573241125,0,32.628521980029845,-0.01635579029185138,34.3412440978262,0,0,0,0
2-Mar-2025,21:00:00,70,60,16.82470393599254,102.45089207767253,83,3.6581188857271627,0.0622278993764516,0,56,0,0,0,0,0,0,30.129085179898187,0,34.12841890095652,-0.02450943850019543,33.76965960152139,0,0,0,0
2-Mar-2025,22:00:00,77,41,12.680969981621109,99.3729277177218,74,4.341969099345477,0.06042863762521673,0,59,0,0,0,0,0,0,39.53383629961138,0,32.776037482306045,0.016411297620890993,34.26706190991263,0,0,0,0
2-Mar-2025,23:00:00,83,47,12.769094857674425,99.34898105268928,81,3.8487567668002756,0.05760270948572319,0,62,0,0,0,0,0,0,46.64539570747056,0,34.76713628995304,-0.028915189041667823,38.04620141230691,0,0,0,0
3-Mar-2025,00:00:00,81,64,12.50597414245037,100.47184522888139,78,4.585274985199671,0.06378725278686503,0,55,1,0,0,0,0,0,35.91213270424832,68,36.232655031281766,0.004145528096417162,36.936420842747566,0,0,0,5
