Date,Time,Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (breaths/min),Blood Oxygen (%),Step Count (steps),Walking Speed (km/h),Distance Walked/Run (km),Flights Climbed (flights),Active Energy Burned (kcal),Stand Hours (hours),Sleep Duration (hours),Time Awake (minutes),REM Sleep (%),Core Sleep (%),Deep Sleep (%),Environmental Sound Level (dB),Headphone Audio Exposure (dB),VO2 Max (mL/kg/min),ECG (ST Segment Elevation) (mm),Body Temperature (°C),Exercise Minutes (minutes),Elevation Gain (meters),Running Pace (min/km),Mindfulness Minutes (minutes)
01-Mar-2025,00:00:00,58.7,77.1,11.9,98.2,0,4.2,0.0,5,62,0,0.0,5,0.0,0.0,0.0,31.8,0.0,49.9,-0.039,36.46,0,0,0.0,0
01-Mar-2025,01:00:00,56.1,73.2,12.3,99.1,0,3.2,0.0,0,62,0,0.0,5,0.0,0.0,0.0,40.1,0.0,48.3,0.034,36.39,0,1,0.0,0
01-Mar-2025,02:00:00,58.3,70.1,11.4,98.8,0,4.4,0.0,4,62,0,5.366068279890143,9,19.200000000000003,68.2,12.6,43.7,0.0,47.5,0.023,36.43,0,3,0.0,0
01-Mar-2025,03:00:00,61.6,73.4,13.9,98.9,0,5.0,0.0,0,62,0,0.0,6,0.0,0.0,0.0,37.4,0.0,50.5,0.017,36.45,0,5,0.0,0
01-Mar-2025,04:00:00,62.0,78.6,12.6,98.0,0,4.1,0.0,2,62,0,0.0,8,0.0,0.0,0.0,38.6,0.0,51.7,0.02,36.24,0,0,0.0,0
01-Mar-2025,05:00:00,63.5,76.6,13.9,98.6,783,4.1,0.8,1,95,1,0.0,0,0.0,0.0,0.0,45.9,0.0,46.8,-0.004,36.33,0,0,0.0,0
01-Mar-2025,06:00:00,62.2,82.0,12.4,98.2,678,3.9,0.6,0,120,1,0.0,0,0.0,0.0,0.0,33.7,0.0,49.6,0.001,36.41,0,0,0.0,0
01-Mar-2025,07:00:00,51.6,77.6,11.8,98.2,430,4.8,0.4,5,110,1,0.0,0,0.0,0.0,0.0,42.8,0.0,48.4,0.04,36.37,0,0,0.0,10
01-Mar-2025,08:00:00,63.4,83.9,12.7,97.6,705,3.6,0.4,5,86,1,0.0,0,0.0,0.0,0.0,34.1,0.0,47.9,-0.023,36.38,0,4,0.0,0
01-Mar-2025,09:00:00,139.5,47.7,17.6,98.5,2725,13.4,5.7,5,577,1,0.0,0,0.0,0.0,0.0,39.1,65.3,45.7,-0.018,36.93,50,9,5.9,0
01-Mar-2025,10:00:00,61.4,75.4,13.9,98.1,658,4.6,0.4,1,100,1,0.0,0,0.0,0.0,0.0,46.0,0.0,46.8,-0.043,36.27,0,3,0.0,0
01-Mar-2025,11:00:00,63.2,84.4,12.6,98.3,432,3.5,0.7,3,117,1,0.0,0,0.0,0.0,0.0,33.4,0.0,50.1,-0.031,36.25,0,1,0.0,0
01-Mar-2025,12:00:00,57.7,82.5,12.2,98.0,446,4.8,0.6,1,90,1,0.0,0,0.0,0.0,0.0,34.4,0.0,50.4,0.05,36.34,0,1,0.0,0
01-Mar-2025,13:00:00,53.5,81.7,11.1,99.4,524,4.6,0.7,2,118,1,0.0,0,0.0,0.0,0.0,45.8,0.0,46.8,0.039,36.45,0,4,0.0,0
01-Mar-2025,14:00:00,54.7,77.8,12.5,99.2,616,3.2,0.6,3,107,1,0.0,0,0.0,0.0,0.0,49.0,0.0,51.9,0.047,36.45,0,5,0.0,0
01-Mar-2025,15:00:00,57.9,77.2,11.1,98.6,603,3.3,0.8,1,97,1,0.0,0,0.0,0.0,0.0,48.4,0.0,49.1,0.024,36.47,0,1,0.0,0
01-Mar-2025,16:00:00,59.8,81.3,11.6,97.6,759,3.2,0.6,0,105,1,0.0,0,0.0,0.0,0.0,36.2,0.0,48.8,-0.01,36.44,0,3,0.0,0
01-Mar-2025,17:00:00,55.9,75.4,11.1,98.7,438,4.1,0.5,0,113,1,0.0,0,0.0,0.0,0.0,46.4,0.0,47.7,-0.0,36.26,0,1,0.0,9
01-Mar-2025,18:00:00,55.9,76.5,11.3,97.7,436,4.2,0.5,0,115,1,0.0,0,0.0,0.0,0.0,32.5,0.0,46.9,0.05,36.3,0,5,0.0,0
01-Mar-2025,19:00:00,54.5,81.8,11.1,98.9,735,3.8,0.8,2,120,1,0.0,0,0.0,0.0,0.0,38.5,0.0,50.8,-0.037,36.25,0,4,0.0,0
01-Mar-2025,20:00:00,57.9,77.4,11.6,98.5,750,4.5,0.4,0,103,1,0.0,0,0.0,0.0,0.0,32.4,0.0,49.1,0.025,36.42,0,2,0.0,10
01-Mar-2025,21:00:00,127.1,48.3,12.9,98.2,2704,12.6,5.5,2,618,1,0.0,0,0.0,0.0,0.0,36.7,68.7,46.4,0.016,36.96,59,12,5.9,0
01-Mar-2025,22:00:00,58.0,79.3,12.1,99.3,593,4.1,0.5,4,103,1,0.0,0,0.0,0.0,0.0,40.8,0.0,45.4,-0.001,36.38,0,0,0.0,0
01-Mar-2025,23:00:00,58.2,74.7,12.7,99.0,0,4.7,0.0,5,62,0,0.0,8,0.0,0.0,0.0,38.5,0.0,46.7,-0.005,36.23,0,4,0.0,0
02-Mar-2025,00:00:00,61.6,78.3,11.5,98.7,0,4.9,0.0,1,62,0,0.0,9,0.0,0.0,0.0,31.0,0.0,48.2,-0.037,36.37,0,0,0.0,0
02-Mar-2025,01:00:00,63.7,70.7,11.7,99.2,0,4.8,0.0,0,62,0,0.0,6,0.0,0.0,0.0,36.9,0.0,51.0,-0.01,36.3,0,5,0.0,0
02-Mar-2025,02:00:00,59.3,81.5,13.0,98.9,0,4.7,0.0,4,62,0,7.5,15,27.0,54.0,19.0,37.6,0.0,51.1,0.044,36.3,0,4,0.0,0
02-Mar-2025,03:00:00,57.9,85.0,11.1,98.7,0,3.6,0.0,4,62,0,0.0,7,0.0,0.0,0.0,32.8,0.0,49.6,-0.014,36.41,0,2,0.0,0
02-Mar-2025,04:00:00,60.4,81.2,13.9,99.3,0,3.5,0.0,5,62,0,0.0,13,0.0,0.0,0.0,30.1,0.0,48.1,0.043,36.45,0,2,0.0,0
02-Mar-2025,05:00:00,60.5,76.4,11.9,98.5,561,4.7,0.4,5,109,1,0.0,0,0.0,0.0,0.0,34.0,0.0,51.4,-0.026,36.4,0,4,0.0,0
02-Mar-2025,06:00:00,58.2,79.9,11.7,98.5,458,5.0,0.4,0,102,1,0.0,0,0.0,0.0,0.0,35.6,0.0,48.0,0.043,36.35,0,5,0.0,0
02-Mar-2025,07:00:00,56.9,77.0,11.4,97.5,798,3.7,0.4,3,89,1,0.0,0,0.0,0.0,0.0,33.0,0.0,45.3,-0.045,36.4,0,5,0.0,10
02-Mar-2025,08:00:00,61.3,83.5,12.5,98.5,430,4.7,0.3,0,119,1,0.0,0,0.0,0.0,0.0,45.2,0.0,46.2,-0.047,36.33,0,3,0.0,0
02-Mar-2025,09:00:00,128.0,48.7,14.3,98.1,2689,12.9,5.8,1,597,1,0.0,0,0.0,0.0,0.0,36.9,74.1,48.1,-0.011,36.93,54,1,5.9,0
02-Mar-2025,10:00:00,51.3,78.8,11.8,98.2,516,4.7,0.6,1,93,1,0.0,0,0.0,0.0,0.0,31.9,0.0,48.4,0.012,36.3,0,1,0.0,0
02-Mar-2025,11:00:00,60.7,79.2,13.0,99.0,420,3.4,0.7,1,113,1,0.0,0,0.0,0.0,0.0,31.8,0.0,46.2,-0.022,36.33,0,1,0.0,0
02-Mar-2025,12:00:00,57.5,81.5,13.4,98.2,407,3.0,0.6,0,87,1,0.0,0,0.0,0.0,0.0,31.9,0.0,48.9,0.008,36.22,0,3,0.0,0
02-Mar-2025,13:00:00,64.2,81.2,13.7,98.3,640,4.2,0.8,4,93,1,0.0,0,0.0,0.0,0.0,46.1,0.0,48.9,0.007,36.34,0,4,0.0,0
02-Mar-2025,14:00:00,52.0,76.0,13.4,98.2,596,4.8,0.7,4,97,1,0.0,0,0.0,0.0,0.0,47.6,0.0,47.2,-0.04,36.34,0,0,0.0,0
02-Mar-2025,15:00:00,54.1,81.6,11.8,97.5,726,4.7,0.8,4,106,1,0.0,0,0.0,0.0,0.0,34.6,0.0,45.2,-0.042,36.3,0,3,0.0,0
02-Mar-2025,16:00:00,55.4,81.5,11.6,97.6,655,3.4,0.6,3,103,1,0.0,0,0.0,0.0,0.0,38.1,0.0,49.5,-0.025,36.24,0,0,0.0,0
02-Mar-2025,17:00:00,61.7,76.2,11.5,99.1,405,4.5,0.5,4,119,1,0.0,0,0.0,0.0,0.0,34.5,0.0,45.8,-0.005,36.36,0,1,0.0,10
02-Mar-2025,18:00:00,58.1,78.4,13.2,97.7,454,3.1,0.3,5,92,1,0.0,0,0.0,0.0,0.0,30.1,0.0,50.2,-0.016,36.38,0,2,0.0,0
02-Mar-2025,19:00:00,61.8,80.5,13.4,99.0,713,4.7,0.7,1,111,1,0.0,0,0.0,0.0,0.0,38.7,0.0,47.4,-0.001,36.32,0,2,0.0,0
02-Mar-2025,20:00:00,57.5,82.7,11.4,98.4,590,4.2,0.6,3,119,1,0.0,0,0.0,0.0,0.0,41.3,0.0,47.2,0.013,36.29,0,1,0.0,9
02-Mar-2025,21:00:00,122.7,48.3,18.3,98.4,2267,13.2,5.4,2,618,1,0.0,0,0.0,0.0,0.0,48.0,72.3,51.1,0.047,37.06,57,12,5.4,0
02-Mar-2025,22:00:00,58.8,83.2,11.1,97.9,550,4.5,0.5,0,110,1,0.0,0,0.0,0.0,0.0,30.1,0.0,51.0,0.004,36.38,0,1,0.0,0
02-Mar-2025,23:00:00,63.1,80.8,13.4,98.7,0,4.3,0.0,3,62,0,0.0,12,0.0,0.0,0.0,39.5,0.0,50.5,0.029,36.24,0,1,0.0,0
