Date,Time,Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (breaths/min),Blood Oxygen (%),Step Count (steps),Walking Speed (km/h),Distance Walked/Run (km),Flights Climbed (flights),Active Energy Burned (kcal),Stand Hours (hours),Sleep Duration (hours),Time Awake (minutes),REM Sleep (%),Core Sleep (%),Deep Sleep (%),Environmental Sound Level (dB),Headphone Audio Exposure (dB),VO2 Max (mL/kg/min),ECG (ST Segment Elevation) (mm),Body Temperature (°C),Exercise Minutes (minutes),Elevation Gain (meters),Running Pace (min/km),Mindfulness Minutes (minutes)
01-Mar-2025,00:00:00,64.5,59.2,11.0,98.6,0,5.0,0.0,0,62,0,0.0,7,0,0,0,43.6,0.0,41.1,-0.006,36.39,0,3,0.0,0
01-Mar-2025,01:00:00,60.6,44.7,12.2,99.2,0,3.8,0.0,1,62,0,0.0,11,0,0,0,30.0,0.0,38.3,0.047,36.38,0,1,0.0,0
01-Mar-2025,02:00:00,60.6,58.3,12.0,98.6,0,3.4,0.0,0,62,0,6.5,5,24,53,24,36.7,0.0,41.2,-0.022,36.36,0,0,0.0,0
01-Mar-2025,03:00:00,66.6,56.9,13.9,98.9,0,4.3,0.0,0,62,0,0.0,5,0,0,0,40.6,0.0,41.4,-0.0,36.47,0,3,0.0,0
01-Mar-2025,04:00:00,67.5,59.7,13.5,99.0,0,3.5,0.0,3,62,0,0.0,10,0,0,0,47.2,0.0,35.5,0.026,36.49,0,1,0.0,0
01-Mar-2025,05:00:00,60.5,76.0,13.4,98.9,410,3.6,0.6,5,99,1,0.0,0,0,0,0,37.3,0.0,38.9,0.049,36.44,0,1,0.0,0
01-Mar-2025,06:00:00,60.9,83.9,13.5,98.9,565,4.2,0.4,3,101,1,0.0,0,0,0,0,49.4,0.0,35.9,0.009,36.21,0,0,0.0,0
01-Mar-2025,07:00:00,129.5,33.8,21.3,98.9,2574,13.7,5.7,4,577,1,0.0,0,0,0,0,35.1,70.2,38.4,0.037,37.16,56,15,6.4,8
01-Mar-2025,08:00:00,59.1,77.1,12.6,98.2,473,3.3,0.7,4,84,1,0.0,0,0,0,0,47.8,0.0,37.8,-0.017,36.27,0,3,0.0,0
01-Mar-2025,09:00:00,52.2,84.4,11.3,98.3,654,3.1,0.5,1,95,1,0.0,0,0,0,0,44.2,0.0,39.0,-0.008,36.48,0,4,0.0,0
01-Mar-2025,10:00:00,63.3,83.8,11.9,98.8,658,3.8,0.6,5,99,1,0.0,0,0,0,0,49.4,0.0,41.0,0.028,36.42,0,0,0.0,0
01-Mar-2025,11:00:00,63.5,83.2,11.0,98.2,784,3.8,0.8,2,119,1,0.0,0,0,0,0,32.0,0.0,42.6,-0.029,36.41,0,5,0.0,0
01-Mar-2025,12:00:00,56.2,84.8,12.1,98.7,440,4.0,0.6,4,107,1,0.0,0,0,0,0,46.5,0.0,44.4,0.03,36.36,0,1,0.0,0
01-Mar-2025,13:00:00,57.0,80.0,11.0,99.4,462,3.7,0.6,1,93,1,0.0,0,0,0,0,42.2,0.0,35.6,-0.001,36.36,0,2,0.0,0
01-Mar-2025,14:00:00,53.9,75.1,12.6,98.5,428,3.3,0.8,2,85,1,0.0,0,0,0,0,46.1,0.0,37.5,-0.013,36.26,0,1,0.0,0
01-Mar-2025,15:00:00,61.5,81.4,11.0,98.1,622,4.1,0.3,4,96,1,0.0,0,0,0,0,38.2,0.0,43.3,0.016,36.28,0,1,0.0,0
01-Mar-2025,16:00:00,51.3,84.5,12.3,98.3,730,4.2,0.7,2,107,1,0.0,0,0,0,0,33.3,0.0,43.0,-0.015,36.35,0,0,0.0,0
01-Mar-2025,17:00:00,63.8,76.8,13.0,97.5,401,3.9,0.3,4,112,1,0.0,0,0,0,0,47.2,0.0,35.6,-0.042,36.32,0,0,0.0,6
01-Mar-2025,18:00:00,149.0,34.9,15.9,98.3,2253,13.7,5.9,0,633,1,0.0,0,0,0,0,34.6,74.3,39.6,-0.05,37.18,48,31,6.0,0
01-Mar-2025,19:00:00,61.8,80.3,11.2,98.9,603,4.6,0.6,4,92,1,0.0,0,0,0,0,38.2,0.0,41.4,-0.002,36.36,0,2,0.0,0
01-Mar-2025,20:00:00,58.7,82.6,12.6,98.1,599,4.1,0.6,0,85,1,0.0,0,0,0,0,49.6,0.0,43.7,-0.036,36.45,0,1,0.0,10
01-Mar-2025,21:00:00,61.7,77.1,13.9,97.7,739,3.4,0.5,4,95,1,0.0,0,0,0,0,38.1,0.0,35.6,0.039,36.29,0,0,0.0,0
01-Mar-2025,22:00:00,63.3,58.6,11.8,99.0,0,4.3,0.0,0,62,0,0.0,14,0,0,0,42.3,0.0,35.4,-0.048,36.26,0,3,0.0,0
01-Mar-2025,23:00:00,63.0,51.1,12.4,97.7,0,4.9,0.0,4,62,0,0.0,14,0,0,0,34.3,0.0,40.9,-0.017,36.26,0,0,0.0,0
02-Mar-2025,00:00:00,70.3,42.9,12.9,99.4,0,3.9,0.0,1,62,0,0.0,8,0,0,0,36.2,0.0,41.3,0.022,36.38,0,3,0.0,0
02-Mar-2025,01:00:00,74.7,40.7,12.9,99.0,0,4.1,0.0,3,62,0,0.0,8,0,0,0,49.9,0.0,40.8,-0.005,36.49,0,2,0.0,0
02-Mar-2025,02:00:00,66.7,46.3,11.5,97.6,0,4.5,0.0,5,62,0,6.5,5,21,58,15,33.3,0.0,44.1,0.039,36.47,0,5,0.0,0
02-Mar-2025,03:00:00,65.7,56.7,12.2,99.4,0,3.8,0.0,1,62,0,0.0,12,0,0,0,40.6,0.0,39.0,0.022,36.37,0,2,0.0,0
02-Mar-2025,04:00:00,66.3,57.2,13.4,98.6,0,3.7,0.0,0,62,0,0.0,8,0,0,0,32.9,0.0,42.7,0.027,36.27,0,3,0.0,0
02-Mar-2025,05:00:00,54.7,78.5,12.9,98.3,529,4.3,0.4,2,112,1,0.0,0,0,0,0,40.8,0.0,35.7,0.017,36.39,0,2,0.0,0
02-Mar-2025,06:00:00,59.1,76.7,11.3,99.3,591,3.7,0.3,2,118,1,0.0,0,0,0,0,40.9,0.0,39.0,0.025,36.25,0,1,0.0,0
02-Mar-2025,07:00:00,144.0,34.4,20.2,97.8,2401,12.5,5.0,5,592,1,0.0,0,0,0,0,45.6,66.6,43.7,0.017,36.91,57,15,6.5,12
02-Mar-2025,08:00:00,56.7,79.4,11.7,98.7,588,4.8,0.7,5,99,1,0.0,0,0,0,0,46.0,0.0,37.8,0.011,36.21,0,3,0.0,0
02-Mar-2025,09:00:00,56.5,83.3,12.2,98.1,462,3.3,0.6,3,100,1,0.0,0,0,0,0,30.9,0.0,39.8,0.032,36.3,0,4,0.0,0
02-Mar-2025,10:00:00,62.0,80.4,13.0,98.2,505,3.8,0.7,5,85,1,0.0,0,0,0,0,45.5,0.0,38.1,0.036,36.34,0,4,0.0,0
02-Mar-2025,11:00:00,58.9,76.0,13.1,99.1,468,3.4,0.6,4,103,1,0.0,0,0,0,0,44.3,0.0,36.5,-0.018,36.46,0,2,0.0,0
02-Mar-2025,12:00:00,61.6,84.5,11.2,98.1,464,3.2,0.7,4,80,1,0.0,0,0,0,0,39.5,0.0,44.0,0.02,36.39,0,5,0.0,0
02-Mar-2025,13:00:00,62.5,82.0,13.4,98.5,559,3.6,0.4,3,102,1,0.0,0,0,0,0,43.0,0.0,40.5,-0.032,36.26,0,0,0.0,0
