Date,Time,Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (breaths/min),Blood Oxygen (%),Step Count (steps),Walking Speed (km/h),Distance Walked/Run (km),Flights Climbed (flights),Active Energy Burned (kcal),Stand Hours (hours),Sleep Duration (hours),Time Awake (minutes),REM Sleep (%),Core Sleep (%),Deep Sleep (%),Environmental Sound Level (dB),Headphone Audio Exposure (dB),VO2 Max (mL/kg/min),ECG (ST Segment Elevation) (mm),Body Temperature (°C),Exercise Minutes (minutes),Elevation Gain (meters),Running Pace (min/km),Mindfulness Minutes (minutes)
01-Mar-2025,00:00:00,80.0,39.0,12.6,98.7,0,3.1,0.0,5,62,0,0.0,7,0.0,0.0,0.0,47.2,0.0,39.6,-0.019,36.29,0,5,0.0,0
01-Mar-2025,01:00:00,84.8,38.8,13.2,98.4,0,3.7,0.0,0,62,0,0.0,6,0.0,0.0,0.0,44.0,0.0,39.6,-0.023,36.43,0,1,0.0,0
01-Mar-2025,02:00:00,72.6,44.5,11.0,98.8,0,4.1,0.0,2,62,0,6.0,10,17.0,70.0,13.0,44.4,0.0,38.5,0.014,36.43,0,3,0.0,0
01-Mar-2025,03:00:00,59.3,80.2,11.9,99.0,451,4.4,0.3,5,106,1,0.0,0,0.0,0.0,0.0,38.6,0.0,41.5,-0.029,36.35,0,1,0.0,0
01-Mar-2025,04:00:00,50.6,75.1,13.2,99.4,637,3.6,0.7,1,91,1,0.0,0,0.0,0.0,0.0,41.5,0.0,39.8,0.023,36.4,0,5,0.0,0
01-Mar-2025,05:00:00,62.5,84.0,12.4,97.7,554,4.6,0.3,5,86,1,0.0,0,0.0,0.0,0.0,41.8,0.0,37.8,0.007,36.24,0,4,0.0,0
01-Mar-2025,06:00:00,61.4,82.5,13.4,99.2,746,3.5,0.8,1,112,1,0.0,0,0.0,0.0,0.0,30.1,0.0,35.5,0.005,36.33,0,2,0.0,0
01-Mar-2025,07:00:00,54.6,84.9,12.3,98.9,678,4.5,0.3,3,118,1,0.0,0,0.0,0.0,0.0,37.5,0.0,40.8,0.009,36.49,0,1,0.0,2
01-Mar-2025,08:00:00,54.0,81.9,12.7,98.8,596,4.9,0.7,5,102,1,0.0,0,0.0,0.0,0.0,38.6,0.0,38.9,0.01,36.29,0,5,0.0,0
01-Mar-2025,09:00:00,56.6,80.2,13.2,97.5,529,4.9,0.6,5,88,1,0.0,0,0.0,0.0,0.0,43.5,0.0,35.8,0.013,36.38,0,5,0.0,0
01-Mar-2025,10:00:00,61.5,76.7,11.6,99.1,533,4.1,0.3,2,115,1,0.0,0,0.0,0.0,0.0,30.9,0.0,41.2,-0.016,36.29,0,0,0.0,0
01-Mar-2025,11:00:00,59.5,82.5,13.6,99.4,462,3.8,0.8,3,97,1,0.0,0,0.0,0.0,0.0,30.0,0.0,38.4,-0.046,36.4,0,0,0.0,0
01-Mar-2025,12:00:00,64.1,79.9,12.6,98.6,606,3.2,0.6,4,111,1,0.0,0,0.0,0.0,0.0,38.6,0.0,37.5,0.024,36.38,0,5,0.0,0
01-Mar-2025,13:00:00,63.2,81.1,13.7,97.9,590,4.6,0.6,1,110,1,0.0,0,0.0,0.0,0.0,32.9,0.0,36.5,0.01,36.28,0,4,0.0,0
01-Mar-2025,14:00:00,60.1,78.6,11.9,98.8,601,4.9,0.4,0,112,1,0.0,0,0.0,0.0,0.0,45.3,0.0,39.9,-0.021,36.36,0,2,0.0,0
01-Mar-2025,15:00:00,60.0,80.0,11.1,98.2,794,5.0,0.6,1,119,1,0.0,0,0.0,0.0,0.0,32.9,0.0,37.8,0.038,36.39,0,5,0.0,0
01-Mar-2025,16:00:00,61.9,75.8,13.3,98.7,476,4.1,0.7,1,105,1,0.0,0,0.0,0.0,0.0,39.8,0.0,39.8,0.038,36.42,0,5,0.0,0
01-Mar-2025,17:00:00,62.9,82.6,13.2,99.2,737,3.5,0.3,5,109,1,0.0,0,0.0,0.0,0.0,47.8,0.0,40.1,0.033,36.48,0,4,0.0,4
01-Mar-2025,18:00:00,159.1,16.4,12.5,98.5,2426,13.2,5.9,3,583,1,0.0,0,0.0,0.0,0.0,39.3,67.9,37.3,0.025,37.14,45,3,6.6,0
01-Mar-2025,19:00:00,51.7,76.1,12.2,97.9,719,3.4,0.6,5,93,1,0.0,0,0.0,0.0,0.0,30.2,0.0,36.9,-0.008,36.28,0,1,0.0,0
01-Mar-2025,20:00:00,60.2,77.0,12.1,98.8,788,3.9,0.7,0,118,1,0.0,0,0.0,0.0,0.0,36.9,0.0,35.9,0.02,36.35,0,1,0.0,3
01-Mar-2025,21:00:00,75.3,41.1,12.9,98.0,0,4.6,0.0,2,62,0,0.0,5,0.0,0.0,0.0,43.7,0.0,42.0,0.028,36.35,0,2,0.0,0
01-Mar-2025,22:00:00,82.6,35.3,13.9,97.7,0,3.6,0.0,2,62,0,0.0,6,0.0,0.0,0.0,38.7,0.0,39.6,0.022,36.23,0,0,0.0,0
01-Mar-2025,23:00:00,74.1,33.0,11.8,97.7,0,3.0,0.0,2,62,0,0.0,11,0.0,0.0,0.0,37.4,0.0,38.5,0.013,36.44,0,0,0.0,0
02-Mar-2025,00:00:00,80.9,28.5,11.8,98.7,0,4.3,0.0,5,62,0,0.0,14,0.0,0.0,0.0,46.0,0.0,39.9,0.015,36.33,0,2,0.0,0
02-Mar-2025,01:00:00,70.2,39.6,13.3,98.4,0,3.8,0.0,5,62,0,0.0,8,0.0,0.0,0.0,35.2,0.0,41.5,-0.004,36.38,0,2,0.0,0
