Profile_ID,Matched_Persona,Confidence_Score
24_samira_anxiety_health_data,health_conscious,50.0
27_aisha_sleep_health_data,health_conscious,50.0
19_javier_student_health_data,academic_stress,100.0
1_george_fridrich,health_conscious,100.0
12_liwei_control_health_data,health_conscious,75.0
9_samira_anxiety_health_data,health_conscious,50.0
22_ahmed_nightshift_health_data,health_conscious,50.0
18_kofi_burnout_health_data,health_conscious,50.0
25_javier_student_health_data,academic_stress,65.0
30_javier_student_health_data,academic_stress,65.0
21_ahmed_nightshift_health_data,health_conscious,75.0
16_ahmed_nightshift_health_data,health_conscious,75.0
31_liwei_control_health_data,health_conscious,75.0
29_aisha_sleep_health_data,health_conscious,50.0
14_javier_student_health_data,health_conscious,75.0
7_kofi_burnout_health_data,health_conscious,50.0
26_javier_student_health_data,health_conscious,75.0
23_ahmed_nightshift_health_data,health_conscious,75.0
15_aisha_sleep_health_data,academic_stress,65.0
17_javier_student_health_data,health_conscious,75.0
11_liwei_control_health_data,health_conscious,75.0
8_ahmed_nightshift_health_data,health_conscious,75.0
28_ahmed_nightshift_health_data,health_conscious,75.0
10_javier_student_health_data,night_shift,50.0
20_ahmed_nightshift_health_data,health_conscious,75.0
6_kiril_night_shift_worker_circadian_disruption,night_shift,75.0
13_ahmed_nightshift_health_data,health_conscious,75.0
