Date,Time,Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (breaths/min),Blood Oxygen (%),Step Count (steps),Walking Speed (km/h),Distance Walked/Run (km),Flights Climbed (flights),Active Energy Burned (kcal),Stand Hours (hours),Sleep Duration (hours),Time Awake (minutes),REM Sleep (%),Core Sleep (%),Deep Sleep (%),Environmental Sound Level (dB),Headphone Audio Exposure (dB),VO2 Max (mL/kg/min),ECG (ST Segment Elevation) (mm),Body Temperature (°C),Exercise Minutes (minutes),Elevation Gain (meters),Running Pace (min/km),Mindfulness Minutes (minutes)
01-Mar-2025,00:00:00,63.5,37.1,13.6,99.2,0,4.7,0.0,2,62,0,0,11,0,0,0,32.1,0.0,37.7,0.006,36.25,0,0,0.0,0
01-Mar-2025,01:00:00,71.9,47.0,13.2,99.0,0,4.7,0.0,2,62,0,0,14,0,0,0,48.4,0.0,35.0,-0.023,36.48,0,2,0.0,0
01-Mar-2025,02:00:00,67.8,35.5,13.7,98.4,0,4.5,0.0,1,62,0,4,9,18,72,10,39.5,0.0,40.9,-0.005,36.24,0,3,0.0,0
01-Mar-2025,03:00:00,71.5,40.9,13.9,99.1,0,3.2,0.0,4,62,0,0,11,0,0,0,36.1,0.0,41.1,-0.012,36.47,0,1,0.0,0
01-Mar-2025,04:00:00,55.8,83.5,12.0,98.3,621,4.1,0.8,1,105,1,0,0,0,0,0,49.1,0.0,36.7,0.039,36.49,0,5,0.0,0
01-Mar-2025,05:00:00,62.9,76.2,11.9,98.5,460,3.1,0.6,1,115,1,0,0,0,0,0,45.3,0.0,35.2,-0.004,36.21,0,2,0.0,0
01-Mar-2025,06:00:00,58.5,79.2,13.0,97.8,750,3.5,0.4,2,109,1,0,0,0,0,0,48.7,0.0,39.4,0.035,36.27,0,3,0.0,0
01-Mar-2025,07:00:00,63.4,84.4,11.6,97.6,746,3.7,0.4,0,118,1,0,0,0,0,0,42.5,0.0,35.7,0.001,36.2,0,1,0.0,10
01-Mar-2025,08:00:00,60.6,76.7,11.4,98.1,749,3.4,0.5,2,88,1,0,0,0,0,0,49.9,0.0,36.3,0.021,36.37,0,2,0.0,0
01-Mar-2025,09:00:00,59.1,80.4,12.0,99.0,430,4.8,0.7,4,95,1,0,0,0,0,0,32.1,0.0,37.1,0.003,36.48,0,2,0.0,0
01-Mar-2025,10:00:00,58.7,82.6,13.3,98.7,632,3.9,0.5,5,120,1,0,0,0,0,0,47.3,0.0,40.7,-0.049,36.39,0,2,0.0,0
01-Mar-2025,11:00:00,55.3,85.0,13.7,99.1,482,4.1,0.5,1,92,1,0,0,0,0,0,34.6,0.0,41.1,0.002,36.36,0,1,0.0,0
01-Mar-2025,12:00:00,56.1,84.3,11.2,97.8,461,5.0,0.8,0,100,1,0,0,0,0,0,38.0,0.0,40.4,-0.036,36.35,0,5,0.0,0
01-Mar-2025,13:00:00,55.4,82.8,13.8,98.3,582,4.4,0.7,2,99,1,0,0,0,0,0,46.2,0.0,37.4,0.044,36.36,0,0,0.0,0
01-Mar-2025,14:00:00,52.6,81.6,13.0,99.0,604,4.9,0.7,5,99,1,0,0,0,0,0,39.5,0.0,36.2,-0.044,36.21,0,3,0.0,0
01-Mar-2025,15:00:00,62.9,78.3,13.3,98.6,446,3.2,0.4,0,91,1,0,0,0,0,0,38.3,0.0,39.4,-0.006,36.25,0,1,0.0,0
01-Mar-2025,16:00:00,61.1,83.6,13.9,99.5,794,3.8,0.3,2,101,1,0,0,0,0,0,37.9,0.0,38.8,-0.021,36.38,0,3,0.0,0
01-Mar-2025,17:00:00,53.1,82.8,11.4,98.3,675,3.7,0.6,4,81,1,0,0,0,0,0,39.3,0.0,41.6,-0.026,36.32,0,2,0.0,11
01-Mar-2025,18:00:00,59.5,75.1,12.2,98.6,519,4.9,0.7,5,120,1,0,0,0,0,0,34.5,0.0,35.8,-0.017,36.44,0,3,0.0,0
01-Mar-2025,19:00:00,53.1,80.2,12.4,97.6,793,3.3,0.3,1,80,1,0,0,0,0,0,36.8,0.0,36.8,0.039,36.49,0,0,0.0,0
01-Mar-2025,20:00:00,53.6,83.8,13.9,97.6,578,4.3,0.3,5,95,1,0,0,0,0,0,37.2,0.0,40.6,-0.039,36.42,0,1,0.0,10
01-Mar-2025,21:00:00,58.3,81.4,13.4,97.9,766,4.9,0.5,2,86,1,0,0,0,0,0,34.2,0.0,36.6,-0.033,36.33,0,0,0.0,0
01-Mar-2025,22:00:00,61.4,40.9,13.2,98.7,0,4.6,0.0,2,62,0,0,7,0,0,0,34.4,0.0,39.4,-0.019,36.44,0,3,0.0,0
01-Mar-2025,23:00:00,62.7,39.7,13.3,98.2,0,3.5,0.0,2,62,0,0,11,0,0,0,37.7,0.0,36.3,0.044,36.44,0,0,0.0,0
02-Mar-2025,00:00:00,70.7,37.5,12.8,99.1,0,3.4,0.0,3,62,0,0,6,0,0,0,36.6,0.0,35.7,-0.01,36.28,0,5,0.0,0
02-Mar-2025,01:00:00,70.1,43.1,13.9,97.6,0,4.7,0.0,3,62,0,0,14,0,0,0,45.8,0.0,39.0,-0.043,36.4,0,5,0.0,0
02-Mar-2025,02:00:00,66.5,37.4,13.4,98.4,0,4.9,0.0,0,62,0,4,10,20,70,10,32.3,0.0,39.8,-0.028,36.32,0,0,0.0,0
02-Mar-2025,03:00:00,63.7,45.3,12.8,99.5,0,4.5,0.0,2,62,0,0,13,0,0,0,43.7,0.0,40.6,-0.04,36.39,0,5,0.0,0
02-Mar-2025,04:00:00,62.3,83.3,12.1,98.0,520,3.2,0.4,3,91,1,0,0,0,0,0,45.1,0.0,35.3,-0.037,36.25,0,2,0.0,0
02-Mar-2025,05:00:00,53.1,83.7,11.4,99.3,561,4.5,0.7,2,108,1,0,0,0,0,0,35.3,0.0,38.6,-0.022,36.31,0,1,0.0,0
02-Mar-2025,06:00:00,55.2,84.7,13.0,99.1,674,4.0,0.3,2,105,1,0,0,0,0,0,48.2,0.0,37.3,0.018,36.3,0,5,0.0,0
02-Mar-2025,07:00:00,58.6,77.3,12.5,99.3,582,3.5,0.6,0,99,1,0,0,0,0,0,30.2,0.0,41.7,0.025,36.24,0,0,0.0,14
02-Mar-2025,08:00:00,57.0,83.8,13.1,99.2,792,4.8,0.3,4,116,1,0,0,0,0,0,36.3,0.0,36.9,-0.031,36.26,0,3,0.0,0
02-Mar-2025,09:00:00,60.5,82.2,11.5,99.0,507,4.3,0.5,5,84,1,0,0,0,0,0,33.2,0.0,39.6,-0.011,36.21,0,0,0.0,0
02-Mar-2025,10:00:00,54.4,84.7,13.5,98.7,407,5.0,0.8,5,101,1,0,0,0,0,0,44.8,0.0,35.3,0.006,36.41,0,2,0.0,0
