Date,Time,Heart Rate (bpm),Heart Rate Variability (ms),Respiratory Rate (breaths/min),Blood Oxygen (%),Step Count (steps),Walking Speed (km/h),Distance Walked/Run (km),Flights Climbed (flights),Active Energy Burned (kcal),Stand Hours (hours),Sleep Duration (hours),Time Awake (minutes),REM Sleep (%),Core Sleep (%),Deep Sleep (%),Environmental Sound Level (dB),Headphone Audio Exposure (dB),VO2 Max (mL/kg/min),ECG (ST Segment Elevation) (mm),Body Temperature (°C),Exercise Minutes (minutes),Elevation Gain (meters),Running Pace (min/km),Mindfulness Minutes (minutes)
01-Mar-2025,00:00:00,65.0,38.8,12.3,97.6,0,4.3,0.0,2,62,0,0.0,15,0.0,0.0,0.0,42.4,0.0,34.2,0.031,36.32,0,0,0.0,0
01-Mar-2025,01:00:00,64.8,36.8,11.7,98.7,0,4.1,0.0,0,62,0,0.0,9,0.0,0.0,0.0,30.4,0.0,32.7,0.045,36.46,0,1,0.0,0
01-Mar-2025,02:00:00,66.5,41.2,12.6,97.7,0,4.0,0.0,1,62,0,4.0,10,18.0,74.0,8.0,38.2,0.0,39.4,-0.012,36.4,0,4,0.0,0
01-Mar-2025,03:00:00,65.5,43.1,11.6,99.4,0,3.6,0.0,3,62,0,0.0,5,0.0,0.0,0.0,43.5,0.0,33.2,0.003,36.35,0,0,0.0,0
01-Mar-2025,04:00:00,61.1,53.3,13.8,97.6,0,3.9,0.0,1,62,0,0.0,9,0.0,0.0,0.0,39.6,0.0,35.4,0.036,36.22,0,3,0.0,0
01-Mar-2025,05:00:00,62.1,82.9,13.2,97.8,631,4.9,0.6,3,117,1,0.0,0,0.0,0.0,0.0,31.6,0.0,33.6,0.022,36.33,0,3,0.0,0
01-Mar-2025,06:00:00,51.5,76.2,12.7,97.6,525,3.1,0.3,1,118,1,0.0,0,0.0,0.0,0.0,38.7,0.0,38.6,-0.003,36.21,0,1,0.0,0
01-Mar-2025,07:00:00,54.0,82.1,13.9,98.3,551,3.3,0.6,5,86,1,0.0,0,0.0,0.0,0.0,37.7,0.0,35.7,-0.036,36.49,0,5,0.0,4
01-Mar-2025,08:00:00,63.3,79.6,12.8,99.2,744,3.9,0.8,5,118,1,0.0,0,0.0,0.0,0.0,44.0,0.0,35.0,-0.038,36.46,0,3,0.0,0
01-Mar-2025,09:00:00,63.1,76.8,12.8,97.9,646,3.9,0.5,4,87,1,0.0,0,0.0,0.0,0.0,49.8,0.0,38.3,-0.012,36.35,0,1,0.0,0
01-Mar-2025,10:00:00,54.7,77.8,11.8,99.3,786,4.1,0.4,2,112,1,0.0,0,0.0,0.0,0.0,41.5,0.0,34.7,0.007,36.26,0,1,0.0,0
01-Mar-2025,11:00:00,132.8,27.7,20.5,99.4,2465,12.5,5.8,4,606,1,0.0,0,0.0,0.0,0.0,40.8,73.7,33.4,0.041,37.15,57,13,7.7,0
01-Mar-2025,12:00:00,51.3,82.3,12.9,99.1,492,3.1,0.4,5,99,1,0.0,0,0.0,0.0,0.0,35.9,0.0,32.8,0.022,36.36,0,5,0.0,0
01-Mar-2025,13:00:00,54.1,78.2,13.4,97.7,402,4.7,0.8,4,81,1,0.0,0,0.0,0.0,0.0,37.6,0.0,35.9,0.022,36.41,0,5,0.0,0
01-Mar-2025,14:00:00,54.0,80.0,13.1,97.5,545,3.5,0.7,4,87,1,0.0,0,0.0,0.0,0.0,35.5,0.0,34.1,0.047,36.48,0,4,0.0,0
01-Mar-2025,15:00:00,54.5,82.5,13.9,97.9,653,3.5,0.5,3,92,1,0.0,0,0.0,0.0,0.0,30.0,0.0,38.8,0.023,36.42,0,3,0.0,0
01-Mar-2025,16:00:00,57.1,79.4,13.5,99.3,490,3.6,0.6,4,102,1,0.0,0,0.0,0.0,0.0,49.7,0.0,39.0,0.042,36.21,0,2,0.0,0
01-Mar-2025,17:00:00,56.8,75.8,13.9,99.4,569,3.9,0.5,5,94,1,0.0,0,0.0,0.0,0.0,37.2,0.0,36.9,0.008,36.42,0,5,0.0,3
01-Mar-2025,18:00:00,52.9,81.0,11.8,99.3,594,3.8,0.6,0,98,1,0.0,0,0.0,0.0,0.0,42.1,0.0,34.1,-0.018,36.29,0,1,0.0,0
01-Mar-2025,19:00:00,59.5,76.9,12.3,98.6,466,4.1,0.8,0,120,1,0.0,0,0.0,0.0,0.0,33.6,0.0,39.9,-0.017,36.43,0,5,0.0,0
01-Mar-2025,20:00:00,61.8,84.0,12.9,98.7,441,3.3,0.7,3,114,1,0.0,0,0.0,0.0,0.0,32.4,0.0,33.7,0.048,36.25,0,0,0.0,1
01-Mar-2025,21:00:00,59.6,84.7,12.4,98.7,554,3.5,0.5,1,83,1,0.0,0,0.0,0.0,0.0,40.7,0.0,39.7,0.037,36.41,0,0,0.0,0
01-Mar-2025,22:00:00,63.0,75.8,12.7,98.2,586,3.2,0.5,0,89,1,0.0,0,0.0,0.0,0.0,42.9,0.0,39.1,0.008,36.46,0,4,0.0,0
01-Mar-2025,23:00:00,63.3,54.4,11.7,98.9,0,4.8,0.0,2,62,0,0.0,12,0.0,0.0,0.0,45.6,0.0,35.7,-0.043,36.22,0,1,0.0,0
02-Mar-2025,00:00:00,67.0,43.0,13.9,99.2,0,4.5,0.0,5,62,0,0.0,12,0.0,0.0,0.0,42.0,0.0,35.4,-0.047,36.45,0,0,0.0,0
02-Mar-2025,01:00:00,64.6,42.6,12.3,98.2,0,4.6,0.0,0,62,0,0.0,13,0.0,0.0,0.0,40.6,0.0,39.4,0.003,36.38,0,1,0.0,0
02-Mar-2025,02:00:00,61.2,52.6,12.3,98.2,0,3.7,0.0,0,62,0,4.0,5,16.0,72.0,12.0,44.0,0.0,35.0,-0.016,36.41,0,3,0.0,0
02-Mar-2025,03:00:00,61.8,40.9,11.6,98.8,0,3.0,0.0,5,62,0,0.0,8,0.0,0.0,0.0,30.7,0.0,33.1,0.013,36.47,0,1,0.0,0
02-Mar-2025,04:00:00,62.2,44.3,11.1,98.9,0,4.3,0.0,1,62,0,0.0,12,0.0,0.0,0.0,43.1,0.0,38.0,-0.005,36.24,0,2,0.0,0
02-Mar-2025,05:00:00,57.3,79.6,12.0,99.2,478,4.4,0.7,5,93,1,0.0,0,0.0,0.0,0.0,48.1,0.0,38.0,-0.045,36.34,0,0,0.0,0
02-Mar-2025,06:00:00,58.1,82.1,12.4,98.0,615,4.9,0.4,0,105,1,0.0,0,0.0,0.0,0.0,47.6,0.0,33.1,-0.032,36.46,0,4,0.0,0
02-Mar-2025,07:00:00,53.3,82.1,13.8,98.8,542,4.4,0.5,3,103,1,0.0,0,0.0,0.0,0.0,45.0,0.0,33.1,0.012,36.26,0,4,0.0,4
02-Mar-2025,08:00:00,54.4,78.1,11.3,98.3,537,4.2,0.6,4,102,1,0.0,0,0.0,0.0,0.0,35.1,0.0,33.1,0.028,36.25,0,0,0.0,0
02-Mar-2025,09:00:00,55.7,79.1,11.0,98.1,484,4.7,0.3,4,120,1,0.0,0,0.0,0.0,0.0,36.9,0.0,39.3,0.027,36.42,0,5,0.0,0
02-Mar-2025,10:00:00,57.2,81.7,13.6,98.5,481,4.3,0.7,4,89,1,0.0,0,0.0,0.0,0.0,32.2,0.0,35.5,0.027,36.35,0,0,0.0,0
